Value,NAME_STATE,Reclass,NEW_CLASS,microclima_class,microclima_name
2220,Other Coniferous Wetlands,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
2221,Wet Flatwoods,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
2230,Other Hardwood Wetlands,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
2231,Baygall,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
2232,Hydric Hammock,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
2300,Non-vegetated Wetland,10,Freshwater Non-Forested Wetland,12,Permanent wetlands
2400,Cultural - Palustrine,1,Natural or Artificial Lakes & Ponds,17,Open water
3000,Lacustrine,1,Natural or Artificial Lakes & Ponds,17,Open water
3100,Natural Lakes and Ponds,1,Natural or Artificial Lakes & Ponds,17,Open water
3200,Cultural - Lacustrine,1,Natural or Artificial Lakes & Ponds,17,Open water
4000,Riverine,13,Natural Rivers & Streams,17,Open water
4100,Natural Rivers and Streams,13,Natural Rivers & Streams,17,Open water
4200,Cultural - Riverine,1,Natural or Artificial Lakes & Ponds,17,Open water
5000,Estuarine,2,Estuarine,12,Permanent wetlands
5220,Tidal Flat,8,Coastal Uplands,11,Tall grasslands
5240,Salt Marsh,2,Estuarine,12,Permanent wetlands
5250,Mangrove Swamp,2,Estuarine,12,Permanent wetlands
5252,Scrub Mangrove,2,Estuarine,12,Permanent wetlands
5300,Cultural - Estuarine,15,Low Intensity Urban,14,Urban and built-up
6000,Marine,2,Estuarine,12,Permanent wetlands
7000,Exotic Plants,19,Exotic Plants,6,Closed shrublands
9100,Unconsolidated Substrate,9,Barren,16,Barren or sparsely vegetated
18331,Cropland/Pasture,18,Agriculture,13,Croplands
18332,Orchards/Groves,18,Agriculture,13,Croplands
18333,Tree Plantations,6,Mixed Hardwood-Coniferous,5,Mixed forest
18334,Vineyard and Nurseries,18,Agriculture,13,Croplands
18335,Other Agriculture,18,Agriculture,13,Croplands
22131,Dome Swamp,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
22132,Basin Swamp,11,Freshwater Forested Wetland,18,Freshwater Forested Wetland
183313,Improved Pasture,17,Rural Lands,16,Barren or sparsely vegetated
1833121,Sugarcane,18,Agriculture,13,Croplands
